NAME,RANK_PROJECTED,RANK_PROJECTED_LIVE,RANK_SCORED,FANTASY_POINTS_PROJECTED,FANTASY_POINTS_PROJECTED_LIVE,FANTASY_POINTS_SCORED,IPO_PRICE,SUGGESTED_PRICE,LAST_PRICE,BID_PRICE,ASK_PRICE,FINAL_PRICE,PROJECTED_VALUATION,CURRENT_VALUATION,TRADEABLE_ID,ENTITY_ID,TEAM_ID,TEAM_ABBREVIATION,EVENT_ID,EVENT_NAME,price,quantity
Ezekiel Elliott,31,32,31,11.3,11.3,NULL,NULL,2.96,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c6566502801bde552949ade,en_2801bde552949ade836c473a2b738db5,team_241ae9b7227d599db16e963f1bbd7bb8,DAL,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,2.96,22
Dallas Goedert,32,33,32,11.27,11.27,NULL,NULL,2.87,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c656650b9a8a2e0e1994e7c,en_b9a8a2e0e1994e7cab3eb66b1e35ca23,team_225aab2f9ddb2784623537df6742aa52,PHI,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,2.87,22
Marquez Valdes-Scantling,33,31,33,11.36,11.36,NULL,NULL,2.92,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665079dde150964dbfd1,en_79dde150964dbfd17741be9c3eafd878,team_29338d32d4d1c136bf5645e6e65b7874,KC,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,3.33,22
Isaiah McKenzie,34,34,34,10.11,10.11,NULL,NULL,2.34,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c656650c6082e3f914b93e7,en_c6082e3f914b93e7ab7f8946929a1f8d,team_21219ce1e25ab5a51058ba397fad41ae,BUF,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.99,22
Ben Skowronek,35,36,35,8.93,8.93,NULL,NULL,2,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665060ac0828d1d68e17,en_60ac0828d1d68e1702522e19e166695b,team_d55ed18801253683bd0c300503b72aa8,LA,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.8,22
Michael Gallup,36,35,36,9.09,9.09,NULL,NULL,2.05,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665021ab7838f7f62628,en_21ab7838f7f6262837a5e105dac87299,team_241ae9b7227d599db16e963f1bbd7bb8,DAL,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,2.05,22
Dawson Knox,37,37,37,8.86,8.86,NULL,NULL,2.01,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c6566506f48f82befa4eae4,en_6f48f82befa4eae4ae6a280d0d456da6,team_21219ce1e25ab5a51058ba397fad41ae,BUF,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,2,22
Tony Pollard,38,38,38,8.8,8.8,NULL,NULL,1.99,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665008937df0599119d2,en_08937df0599119d205156f93274f8513,team_241ae9b7227d599db16e963f1bbd7bb8,DAL,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,2.34,22
Allen Robinson,39,42,39,8.21,8.21,NULL,NULL,1.8,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c656650a33b9fe7964ca254,en_a33b9fe7964ca2545c0b5ec45e3c618d,team_d55ed18801253683bd0c300503b72aa8,LA,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.8,22
Robbie Anderson,40,39,40,8.38,8.38,NULL,NULL,1.8,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c656650a7b85f7b38a94836,en_a7b85f7b38a948368f6eac63e4c03dec,team_03e38ef6a95d4b29c4ed09d4d8de81e6,CAR,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,2.01,22
Noah Brown,41,40,41,8.36,8.36,NULL,NULL,1.81,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c6566504c11f5ac992ed0a4,en_4c11f5ac992ed0a4e4dd0a20ae3ab680,team_241ae9b7227d599db16e963f1bbd7bb8,DAL,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.99,22
Mecole Hardman,42,41,42,8.24,8.24,NULL,NULL,1.8,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c656650da727ce998505735,en_da727ce9985057352b1f0bdff82ad8ca,team_29338d32d4d1c136bf5645e6e65b7874,KC,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.27,22
Jerick McKinnon,43,44,43,7.35,7.35,NULL,NULL,1.65,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665037e5778825eb628e,en_37e5778825eb628eb2279b6ba44a40fd,team_29338d32d4d1c136bf5645e6e65b7874,KC,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.59,22
Noah Fant,44,45,44,7.07,7.07,NULL,NULL,1.59,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c6566508b16d1bf64e74aea,en_8b16d1bf64e74aea921b2a9f1f826026,team_63afd608a237bfbf186dce8c22e72a66,SEA,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.26,22
DeeJay Dallas,45,52,45,4.97,4.97,NULL,NULL,1.27,1.06,NULL,NULL,NULL,25,1,tdbl_6345a9c17c656650271355e6410372e8,en_271355e6410372e888b1dfa2b6ae56c9,team_63afd608a237bfbf186dce8c22e72a66,SEA,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.13,22
A.J. Green,46,43,46,7.42,7.42,NULL,NULL,1.67,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c6566500abdd42a3f906c71,en_0abdd42a3f906c71a52b5a86a2df20fa,team_5d4e631aa0243be4a65e307323486ea6,ARI,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.8,22
Malcolm Brown,47,47,47,6.45,6.45,NULL,NULL,1.21,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c656650fbdc94153378d2f6,en_fbdc94153378d2f67c7afa23a37f0453,team_d55ed18801253683bd0c300503b72aa8,LA,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.8,22
Will Dissly,48,48,48,5.95,5.95,NULL,NULL,1.15,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c6566507a1b7b311d2b0da3,en_7a1b7b311d2b0da39060d6f683cd68fa,team_63afd608a237bfbf186dce8c22e72a66,SEA,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.3,22
Shi Smith,49,49,49,5.7,5.7,NULL,NULL,1.14,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665060ac082104ea0f88,en_60ac082104ea0f882e0e7fe7a6d01b00,team_03e38ef6a95d4b29c4ed09d4d8de81e6,CAR,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.24,22
Marquise Goodwin,50,50,50,5.5,5.5,NULL,NULL,1.13,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665096a9de3f231f094e,en_96a9de3f231f094e41660814e7b8253d,team_63afd608a237bfbf186dce8c22e72a66,SEA,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.13,22
